Clothing,Color,Fabric/Texture,wearCount,Style,Type,Temperature,* 20 initial entries were inputted by team
Bike shorts,Black/White,Cotton,0,Casual,Activewear,hot,
Striped tee,Orange,Fleece,0,Casual,Tops,hot,
Joggers,Tan,Nylon,0,Athletic,Bottoms,cold,
Camisole,Purple,Polyester,0,Casual,Tops,warm,
Crop top,Plaid Red/Black,Denim,0,Casual,Tops,hot,
Fleece jacket,Burgundy,Polyester,0,Outerwear,Jackets,hot,
Denim jacket,Chocolate,Leather,0,Outerwear,Jackets,cold,
Ruffle blouse,Brown,Cotton,0,Casual,Tops,cold,
Cocktail dress,Royal Blue,Silk,0,Formal,Dresses,warm,
Utility jacket,Ivory,Nylon,0,Outerwear,Jackets,cold,
Casual dress,Leopard Print,Polyester,0,Casual,Dresses,cold,
Shorts,Burnt Orange,Linen,0,Casual,Bottoms,warm,
Trousers,Olive,Leather,0,Casual,Bottoms,hot,
V-neck tee,Turquoise,Leather,0,Casual,Tops,cold,
Wrap skirt,Caramel,Cotton,0,Casual,Bottoms,cold,
romper,Blue,Nylon,0,Athletic,Activewear,warm,
Zip-up hoodie,Terracotta,Wool,0,Outerwear,Jackets,hot,
Denim shorts,Light Blue,Fleece,0,Casual,Bottoms,hot,
Ruffle blouse,Lime,Leather,0,Casual,Tops,cold,
Running shorts,Burgundy,Polyester,0,Athletic,Activewear,hot,
Sweatshirt,Turquoise,Cotton,0,Outerwear,Jackets,cold,
Graphic tee,Color Block Navy/White,Spandex,0,Casual,Tops,hot,
Colorblock sweater,Sky Blue,Denim,0,Casual,Tops,cold,
Denim shorts,Cobalt,Spandex,0,Casual,Bottoms,hot,
Running shirt,Color Block Navy/White,Cotton,0,Athletic,Activewear,cold,
Cargo shorts,Mint,Fleece,0,Casual,Bottoms,cold,
Sports bra,Plum,Cotton,0,Athletic,Activewear,hot,
Sleep shirt,Olive,Linen,0,Loungewear,Tops,cold,
Wool coat,Green,Polyester,0,Outerwear,Jackets,hot,
Henley,Black/White,Wool,0,Casual,Tops,cold,
tank,Black,Nylon,0,Athletic,Activewear,hot,
Swim trunks,Light Blue,Wool,0,Athletic,Activewear,hot,
Sports bra top,Red/White,Polyester,0,Athletic,Activewear,hot,
Anorak,White,Denim,0,Athletic,Jackets,cold,
Peasant blouse,Crimson,Nylon,0,Casual,Tops,warm,
Linen shirt,Blush,Linen,0,Casual,Tops,warm,
Sweater dress,Light Blue,Polyester,0,Casual,Dresses,cold,
Maxi skirt,Pink,Polyester,0,Casual,Bottoms,warm,
High waist pants,Burnt Orange,Nylon,0,Casual,Bottoms,cold,
Striped sweater,Sky Blue,Fleece,0,Casual,Tops,cold,
One-piece swimsuit,Color Block Black/Red,Spandex,0,Athletic,Activewear,hot,
V-neck sweater,Crimson,Nylon,0,Casual,Tops,cold,
Sports bra top,Wine,Leather,0,Athletic,Activewear,hot,
Flannel shirt,Wine,Nylon,0,Casual,Tops,cold,
Suit jacket,Peach,Cotton,0,Formal,Jackets,cold,
shorts,Burgundy,Spandex,0,Athletic,Activewear,warm,
Shirt dress,Cream,Leather,0,Casual,Dresses,cold,
Sweatpants,Rust,Leather,0,Loungewear,Bottoms,cold,
Capri pants,Aqua,Silk,0,Casual,Bottoms,cold,
Track pants,Charcoal,Wool,0,Athletic,Bottoms,warm,
Floral dress,Lilac,Wool,0,Casual,Dresses,warm,
Ruffle blouse,Sage,Cotton,0,Casual,Tops,cold,
Oversized sweater,Tie-Dye Multicolor,Nylon,0,Casual,Tops,cold,
Pajama shorts,Houndstooth Black/White,Fleece,0,Loungewear,Bottoms,hot,
Oxford shirt,Cobalt,Wool,0,Formal,Tops,warm,
Straight leg jeans,Olive,Cotton,0,Casual,Bottoms,cold,
Off-shoulder top,Navy/White,Silk,0,Casual,Tops,cold,
Yoga shorts,Purple,Wool,0,Athletic,Activewear,warm,
Cropped cardigan,Tie-Dye Multicolor,Denim,0,Outerwear,Jackets,warm,
Bodycon dress,Orange,Wool,0,Casual,Dresses,hot,
tank,Navy/White,Cotton,0,Athletic,Activewear,hot,
Bomber jacket,Houndstooth Black/White,Silk,0,Outerwear,Jackets,cold,
Maxi dress,Navy/White,Cotton,0,Casual,Dresses,warm,
Striped sweater,Lilac,Wool,0,Casual,Tops,cold,
Colorblock sweater,Royal Blue,Nylon,0,Casual,Tops,warm,
Sport coat,Aqua,Denim,0,Outerwear,Jackets,cold,
Denim skirt,Salmon,Fleece,0,Casual,Bottoms,cold,
Oversized hoodie,Light Blue,Spandex,0,Outerwear,Jackets,cold,
Casual dress,Hot Pink,Cotton,0,Casual,Dresses,warm,
Crew neck sweater,Turquoise,Silk,0,Casual,Tops,cold,
Crewneck sweatshirt,Black,Linen,0,Outerwear,Jackets,cold,
Bike shorts,Burnt Orange,Nylon,0,Casual,Activewear,hot,
Suit pants,Lavender,Leather,0,Formal,Bottoms,cold,
Romper,Red/White,Silk,0,Casual,Dresses,hot,
Denim jacket,Striped Navy/White,Leather,0,Outerwear,Jackets,cold,
Pullover sweater,Chocolate,Fleece,0,Casual,Tops,cold,
Leather jacket,Lilac,Spandex,0,Outerwear,Jackets,cold,
Prom dress,Gold,Silk,0,Formal,Dresses,warm,
Track pants,Rust,Linen,0,Athletic,Bottoms,cold,
Flannel shirt,Ivory,Polyester,0,Casual,Tops,cold,
Down jacket,Caramel,Leather,0,Outerwear,Jackets,cold,
Summer dress,Orange,Cotton,0,Casual,Dresses,hot,
Peacoat,Salmon,Polyester,0,Outerwear,Jackets,cold,
Band tee,Black,Spandex,0,Casual,Tops,hot,
One-piece swimsuit,Black/White,Silk,0,Athletic,Activewear,hot,
Straight leg jeans,Leopard Print,Leather,0,Casual,Bottoms,cold,
Crop top,Color Block Black/Red,Fleece,0,Casual,Tops,hot,
Mock neck top,Blue/White,Denim,0,Casual,Tops,cold,
Cocktail dress,Striped Black/White,Cotton,0,Formal,Dresses,warm,
Anorak,Purple,Denim,0,Athletic,Jackets,cold,
Sweater,Camouflage Green,Leather,0,Casual,Tops,cold,
Crewneck sweatshirt,Black/Gray,Linen,0,Outerwear,Jackets,cold,
Running shirt,Striped Navy/White,Leather,0,Athletic,Activewear,hot,
Shorts,Lime,Wool,0,Casual,Bottoms,cold,
Track jacket,Leopard Print,Silk,0,Athletic,Jackets,cold,
Cable knit sweater,Gold,Wool,0,Casual,Tops,cold,
Jumpsuit,Caramel,Fleece,0,Casual,Dresses,cold,
Dress pants,Forest Green,Nylon,0,Formal,Bottoms,cold,
Pencil skirt,Checkered Black/White,Nylon,0,Formal,Bottoms,warm,
Oversized tee,Crimson,Silk,0,Casual,Tops,hot,
Bodycon dress,Crimson,Silk,0,Casual,Dresses,warm,
Blouse,Nude,Linen,0,Casual,Tops,warm,
Floral skirt,Checkered Black/White,Leather,0,Casual,Bottoms,cold,
Summer dress,Tan,Fleece,0,Casual,Dresses,hot,
Casual dress,Fuchsia,Cotton,0,Casual,Dresses,hot,
Performance jacket,Hot Pink,Leather,0,Athletic,Activewear,cold,
Tee,Mauve,Cotton,0,Casual,Tops,hot,
Training shorts,Fuchsia,Nylon,0,Athletic,Activewear,hot,
Zip-up hoodie,Checkered Black/White,Silk,0,Outerwear,Jackets,cold,
Trench coat,Yellow,Wool,0,Outerwear,Jackets,cold,
Velvet dress,Plaid Blue/Green,Cotton,0,Casual,Dresses,warm,
A-line dress,Plum,Spandex,0,Casual,Dresses,warm,
Running tights,Maroon,Leather,0,Athletic,Activewear,cold,
Cowl neck top,Houndstooth Black/White,Cotton,0,Casual,Tops,warm,
Slip dress,Charcoal,Nylon,0,Casual,Dresses,hot,
Oversized sweater,Black/White,Denim,0,Casual,Tops,cold,
Floral jumpsuit,Coral,Polyester,0,Casual,Dresses,warm,
Shorts,Hot Pink,Nylon,0,Casual,Bottoms,hot,
Distressed jeans,Blue/White,Spandex,0,Casual,Bottoms,cold,
Leggings,Hot Pink,Wool,0,Athletic,Bottoms,cold,
Training shorts,Nude,Wool,0,Athletic,Activewear,cold,
Bodysuit,Striped Navy/White,Cotton,0,Casual,Dresses,cold,
Moisture-wicking tee,Checkered Black/White,Polyester,0,Athletic,Activewear,hot,
Capri pants,Yellow,Cotton,0,Casual,Bottoms,hot,
One-piece swimsuit,Ivory,Cotton,0,Athletic,Activewear,warm,
Palazzo pants,Rust,Cotton,0,Casual,Bottoms,hot,
Turtleneck sweater,Crimson,Silk,0,Casual,Tops,warm,
Cowl neck top,Striped Navy/White,Denim,0,Casual,Tops,cold,
Parka,Terracotta,Leather,0,Outerwear,Jackets,cold,
Robe,Green,Wool,0,Loungewear,Jackets,cold,
Zip-up top,Cobalt,Linen,0,Casual,Tops,cold,
A-line skirt,Sky Blue,Cotton,0,Casual,Bottoms,warm,
A-line skirt,Hot Pink,Wool,0,Casual,Bottoms,warm,
Sports bra,Rust,Nylon,0,Athletic,Activewear,cold,
Varsity jacket,Lime,Spandex,0,Outerwear,Jackets,hot,
Lounge shorts,Turquoise,Denim,0,Loungewear,Bottoms,cold,
Tuxedo pants,Ivory,Wool,0,Formal,Bottoms,hot,
Fleece vest,Black/White,Nylon,0,Casual,Jackets,cold,
Ruffle blouse,Camouflage Green,Denim,0,Casual,Tops,cold,
Polo shirt,Nude,Nylon,0,Casual,Tops,warm,
Off-shoulder top,Navy/White,Nylon,0,Casual,Tops,hot,
Fair Isle sweater,Blue/White,Cotton,0,Casual,Tops,hot,
Velvet dress,Wine,Nylon,0,Casual,Dresses,cold,
Merino sweater,Forest Green,Polyester,0,Casual,Tops,cold,
Bikini top,Plaid Red/Black,Leather,0,Casual,Activewear,hot,
Velvet dress,Forest Green,Silk,0,Casual,Dresses,cold,
Linen pants,Navy,Wool,0,Casual,Bottoms,cold,
Bib overalls,Lime,Leather,0,Casual,Dresses,cold,
Ski jacket,Hot Pink,Nylon,0,Athletic,Jackets,cold,
Oxford shirt,Floral Multicolor,Polyester,0,Formal,Tops,warm,
Wide leg jeans,Plaid Blue/Green,Silk,0,Casual,Bottoms,cold,
Culotte pants,Olive,Leather,0,Casual,Bottoms,cold,
Board shorts,Sage,Cotton,0,Athletic,Activewear,hot,
Faux leather jacket,Orange,Nylon,0,Outerwear,Jackets,cold,
Trousers,Peach,Linen,0,Casual,Bottoms,warm,
Cropped hoodie,Gold,Leather,0,Outerwear,Jackets,cold,
Fitted sweater,Plaid Blue/Green,Leather,0,Casual,Tops,cold,
Tuxedo jacket,Gray,Spandex,0,Formal,Jackets,cold,
Skirt,Yellow,Fleece,0,Casual,Bottoms,cold,
Lounge pants,Lime,Polyester,0,Loungewear,Bottoms,cold,
Colorblock sweater,Blush,Leather,0,Casual,Tops,cold,
Oversized hoodie,Zebra Print,Denim,0,Outerwear,Jackets,cold,
Linen dress,Color Block Navy/White,Wool,0,Casual,Dresses,cold,
Culotte pants,Blue/White,Wool,0,Casual,Bottoms,cold,
Maxi skirt,Green,Silk,0,Casual,Bottoms,warm,
Turtleneck,Orange,Linen,0,Casual,Tops,cold,
Turtleneck,Houndstooth Black/White,Nylon,0,Casual,Tops,cold,
Low rise jeans,Terracotta,Leather,0,Casual,Bottoms,cold,
Chino shorts,Zebra Print,Fleece,0,Casual,Bottoms,hot,
Compression shirt,Orange,Fleece,0,Athletic,Activewear,cold,
Cargo pants,Pink,Wool,0,Casual,Bottoms,cold,
Midi skirt,White,Polyester,0,Casual,Bottoms,warm,
Cowl neck top,Sage,Polyester,0,Casual,Tops,warm,
Tube top,Color Block Navy/White,Fleece,0,Casual,Tops,hot,
Lounge shorts,Light Blue,Leather,0,Loungewear,Bottoms,hot,
Moisture-wicking shirt,White,Fleece,0,Athletic,Activewear,cold,
Winter puffer,Plaid Red/Black,Denim,0,Outerwear,Jackets,hot,
Thermal leggings,Coral,Polyester,0,Athletic,Activewear,cold,
Wide leg pants,Plaid Red/Black,Denim,0,Casual,Bottoms,cold,
Blouse,Salmon,Cotton,0,Casual,Tops,cold,
Wrap blouse,Beige,Cotton,0,Casual,Tops,warm,
Pocket tee,Turquoise,Nylon,0,Casual,Tops,warm,
Palazzo pants,Royal Blue,Spandex,0,Casual,Bottoms,hot,
Cropped cardigan,Yellow,Nylon,0,Outerwear,Jackets,hot,
Shirt dress,Black/Gray,Cotton,0,Casual,Dresses,cold,
Mini skirt,Black/White,Linen,0,Casual,Bottoms,warm,
Ski jacket,Tan,Spandex,0,Athletic,Jackets,hot,
Performance jacket,Burnt Orange,Silk,0,Athletic,Activewear,cold,
Denim shorts,Chocolate,Linen,0,Casual,Bottoms,cold,
Trousers,Wine,Nylon,0,Casual,Bottoms,hot,
Workout top,Black,Polyester,0,Athletic,Activewear,warm,
Bib overalls,Striped Navy/White,Fleece,0,Casual,Dresses,hot,
Chambray shirt,Mustard,Fleece,0,Casual,Tops,cold,
Fleece robe,Mint,Leather,0,Loungewear,Jackets,cold,
Wrap blouse,Mustard,Wool,0,Casual,Tops,cold,
Suit pants,Rust,Silk,0,Formal,Bottoms,cold,
Sleeveless blouse,Checkered Black/White,Silk,0,Casual,Tops,cold,
Fitted sweater,Crimson,Wool,0,Casual,Tops,warm,
Fitted tee,Caramel,Polyester,0,Casual,Tops,cold,
Zip-up top,Aqua,Fleece,0,Casual,Tops,hot,
Jumpsuit,Royal Blue,Leather,0,Casual,Dresses,cold,
Loungewear set,Turquoise,Silk,0,Loungewear,Tops,cold,
Cargo shorts,Camouflage Green,Nylon,0,Casual,Bottoms,cold,
Peacoat,Red/White,Nylon,0,Outerwear,Jackets,hot,
Open front cardigan,Ivory,Linen,0,Outerwear,Jackets,cold,
dress,Lavender,Wool,0,Athletic,Activewear,warm,
Flannel shirt,Navy,Silk,0,Casual,Tops,cold,
Pajama shirt,Gray,Wool,0,Loungewear,Tops,cold,
Rain jacket,Ivory,Silk,0,Outerwear,Jackets,cold,
Winter puffer,Leopard Print,Silk,0,Outerwear,Jackets,cold,
Board shorts,Coral,Silk,0,Athletic,Activewear,cold,
Fair Isle sweater,Plaid Blue/Green,Spandex,0,Casual,Tops,hot,
Winter puffer,Violet,Linen,0,Outerwear,Jackets,cold,
Yoga pants,Lavender,Spandex,0,Athletic,Activewear,warm,
Sports bra top,Lilac,Leather,0,Athletic,Activewear,cold,
Lounge pants,Floral Multicolor,Fleece,0,Loungewear,Bottoms,hot,
Colorblock sweater,Salmon,Cotton,0,Casual,Tops,cold,
Linen jumpsuit,Navy,Wool,0,Casual,Dresses,cold,
Wide leg pants,Lavender,Denim,0,Casual,Bottoms,cold,
Swim trunks,Salmon,Nylon,0,Athletic,Activewear,cold,
T-shirt,Checkered Black/White,Leather,0,Casual,Tops,hot,
Party dress,Beige,Cotton,0,Casual,Dresses,hot,
Faux leather jacket,Pink,Fleece,0,Outerwear,Jackets,warm,
Cable knit sweater,Red/White,Polyester,0,Casual,Tops,cold,
Flared jeans,Forest Green,Denim,0,Casual,Bottoms,cold,
Bike shorts,Red/White,Linen,0,Casual,Activewear,cold,
Mock neck top,Charcoal,Silk,0,Casual,Tops,hot,
Sleep shorts,Burgundy,Fleece,0,Loungewear,Bottoms,cold,
Oversized hoodie,White,Polyester,0,Outerwear,Jackets,cold,
Henley,Yellow,Denim,0,Casual,Tops,cold,
Floral jumpsuit,Royal Blue,Cotton,0,Casual,Dresses,warm,
Overcoat,Teal,Denim,0,Outerwear,Jackets,warm,
Fleece robe,Forest Green,Polyester,0,Loungewear,Jackets,cold,
Raincoat,Striped Navy/White,Denim,0,Outerwear,Jackets,cold,
Linen jumpsuit,Color Block Navy/White,Linen,0,Casual,Dresses,cold,
Bodycon dress,Orange,Wool,0,Casual,Dresses,warm,
Moisture-wicking tee,Denim Blue,Cotton,0,Athletic,Activewear,cold,
Chino shorts,Nude,Linen,0,Casual,Bottoms,hot,
Suit pants,Camouflage Green,Wool,0,Formal,Bottoms,hot,
T-shirt,Mint,Polyester,0,Casual,Tops,cold,
Military jacket,Plaid Blue/Green,Cotton,0,Outerwear,Jackets,hot,
Overalls,Houndstooth Black/White,Leather,0,Casual,Dresses,cold,
Compression leggings,Lilac,Nylon,0,Athletic,Activewear,cold,
Wrap dress,Blue/White,Polyester,0,Casual,Dresses,cold,
Boyfriend jeans,Gold,Silk,0,Casual,Bottoms,warm,
Chinos,Peach,Polyester,0,Casual,Bottoms,cold,
Pencil skirt,Striped Navy/White,Denim,0,Formal,Bottoms,warm,
Bodycon dress,Crimson,Fleece,0,Casual,Dresses,cold,
Linen shirt,Light Blue,Fleece,0,Casual,Tops,cold,
Varsity jacket,Lilac,Spandex,0,Outerwear,Jackets,cold,
Jumpsuit,Blue,Cotton,0,Casual,Dresses,warm,
Linen jumpsuit,White,Linen,0,Casual,Dresses,warm,
Formal gown,Crimson,Nylon,0,Formal,Dresses,warm,
Winter puffer,Olive,Wool,0,Outerwear,Jackets,cold,
Turtleneck sweater,Rose,Nylon,0,Casual,Tops,cold,
Floral skirt,Houndstooth Black/White,Fleece,0,Casual,Bottoms,cold,
Pencil skirt,Plaid Blue/Green,Nylon,0,Formal,Bottoms,warm,
Linen shirt,Brown,Silk,0,Casual,Tops,warm,
Chunky knit sweater,Mint,Silk,0,Casual,Tops,cold,
Moisture-wicking tee,Navy,Denim,0,Athletic,Activewear,warm,
Compression shirt,Blue,Wool,0,Athletic,Activewear,cold,
Zip-up top,Turquoise,Cotton,0,Casual,Tops,cold,
tank,Lavender,Polyester,0,Athletic,Activewear,hot,
Skirt,Mauve,Leather,0,Casual,Bottoms,warm,
Sweater dress,Red,Denim,0,Casual,Dresses,cold,
Fleece jacket,Peach,Linen,0,Outerwear,Jackets,cold,
Jeans,Wine,Nylon,0,Casual,Bottoms,warm,
Sweater,Hot Pink,Fleece,0,Casual,Tops,cold,
Overcoat,Red,Silk,0,Outerwear,Jackets,cold,
Floral jumpsuit,Green,Leather,0,Casual,Dresses,cold,
Pleated pants,White,Leather,0,Casual,Bottoms,cold,
Bike shorts,Checkered Black/White,Linen,0,Casual,Activewear,hot,
Wrap blouse,Red/White,Leather,0,Casual,Tops,cold,
Military jacket,Turquoise,Nylon,0,Outerwear,Jackets,cold,
Loungewear set,Green,Leather,0,Loungewear,Tops,cold,
Midi skirt,Rust,Denim,0,Casual,Bottoms,warm,
Raincoat,Sky Blue,Silk,0,Outerwear,Jackets,cold,
Shirt dress,Mauve,Fleece,0,Casual,Dresses,cold,
Robe,Teal,Cotton,0,Loungewear,Jackets,cold,
Pullover sweater,Rose,Wool,0,Casual,Tops,cold,
Graphic tee,Beige,Fleece,0,Casual,Tops,cold,
Bike shorts,Mustard,Denim,0,Casual,Activewear,hot,
Sweatpants,Orange,Wool,0,Loungewear,Bottoms,cold,
Pajama shorts,Denim Blue,Spandex,0,Loungewear,Bottoms,hot,
Cable knit sweater,Ivory,Silk,0,Casual,Tops,cold,
Suit pants,Red/White,Cotton,0,Formal,Bottoms,warm,
Utility jacket,Pink,Denim,0,Outerwear,Jackets,cold,
Henley,Teal,Spandex,0,Casual,Tops,warm,
Moisture-wicking tee,Nude,Nylon,0,Athletic,Activewear,warm,
Bootcut jeans,Light Blue,Nylon,0,Casual,Bottoms,warm,
Maxi dress,Zebra Print,Denim,0,Casual,Dresses,warm,
Cargo shorts,Maroon,Wool,0,Casual,Bottoms,hot,
Raincoat,Teal,Silk,0,Outerwear,Jackets,cold,
Cocktail dress,Cobalt,Leather,0,Formal,Dresses,cold,
Peasant blouse,Red,Silk,0,Casual,Tops,warm,
Pajama shorts,Rose,Spandex,0,Loungewear,Bottoms,hot,
Henley,Rose,Cotton,0,Casual,Tops,warm,
Denim shorts,Houndstooth Black/White,Denim,0,Casual,Bottoms,hot,
Linen jumpsuit,Blush,Wool,0,Casual,Dresses,cold,
Field jacket,Hot Pink,Spandex,0,Athletic,Jackets,cold,
Off-shoulder top,Mustard,Leather,0,Casual,Tops,cold,
Flannel shirt,Color Block Black/Red,Fleece,0,Casual,Tops,cold,
Sweater,Yellow,Cotton,0,Casual,Tops,cold,
Fair Isle sweater,Striped Black/White,Polyester,0,Casual,Tops,cold,
Merino sweater,Peach,Denim,0,Casual,Tops,cold,
Oversized tee,Ivory,Cotton,0,Casual,Tops,warm,
Midi skirt,Floral Multicolor,Denim,0,Casual,Bottoms,warm,
Raglan shirt,Gold,Polyester,0,Casual,Tops,warm,
Crew neck tee,Fuchsia,Leather,0,Casual,Tops,cold,
